time,setpoint,response,pwm,,Parameters
25953732,100.00,99.95,0.03,,Labtype,Position
25977684,100.00,99.95,0.03,,Feedforward,
26015260,100.00,99.95,0.03,,OL Voltage,
26034728,100.00,99.95,0.03,,Setpoint,100
26079432,100.00,99.95,0.03,,Saturation,"-12,12"
26102796,100.00,99.95,0.03,,PID Sample Time,2
26142536,100.00,99.95,0.03,,P,0.5
26162672,100.00,99.95,0.03,,I,0
26202688,100.00,99.95,0.03,,D,0
26226924,100.00,99.95,0.03,,Controller State,1
26260992,100.00,99.95,0.03,,,
26288052,100.00,99.95,0.03,,,
26322712,100.00,99.95,0.03,,,
26352020,100.00,99.95,0.03,,,
26390972,100.00,99.95,0.03,,,
26410244,100.00,99.95,0.03,,,
26441796,100.00,99.95,0.03,,,
26459684,100.00,99.95,0.03,,,
26487728,100.00,99.95,0.03,,,
26505624,100.00,99.95,0.03,,,
26541544,100.00,99.95,0.03,,,
26558172,100.00,99.95,0.03,,,
26586696,100.00,99.95,0.03,,,
26602932,100.00,99.95,0.03,,,
26626104,100.00,99.95,0.03,,,
26640488,100.00,99.95,0.03,,,
26667624,100.00,99.95,0.03,,,
26680752,100.00,99.95,0.03,,,
26702068,100.00,99.95,0.03,,,
26719168,100.00,99.95,0.03,,,
26744188,100.00,99.95,0.03,,,
26758772,100.00,99.95,0.03,,,
26779892,100.00,99.95,0.03,,,
26798764,100.00,99.95,0.03,,,
26821740,100.00,99.95,0.03,,,
26836908,100.00,99.95,0.03,,,
26863580,100.00,99.95,0.03,,,
26878168,100.00,99.95,0.03,,,
26902004,100.00,99.95,0.03,,,
26914144,100.00,99.95,0.03,,,
26938964,100.00,99.95,0.03,,,
26951896,100.00,99.95,0.03,,,
26976324,100.00,99.95,0.03,,,
26993344,100.00,99.95,0.03,,,
27017176,100.00,99.95,0.03,,,
27032160,100.00,99.95,0.03,,,
27057844,100.00,99.95,0.03,,,
27076328,100.00,99.95,0.03,,,
27101544,100.00,99.95,0.03,,,
27115260,100.00,99.95,0.03,,,
27142600,100.00,99.95,0.03,,,
27155332,100.00,99.95,0.03,,,
27176260,100.00,99.95,0.03,,,
27188796,100.00,99.95,0.03,,,
27214208,100.00,99.95,0.03,,,
27230164,100.00,99.95,0.03,,,
27254396,100.00,99.95,0.03,,,
27271028,100.00,99.95,0.03,,,
27296244,100.00,99.95,0.03,,,
27312676,100.00,99.95,0.03,,,
27340332,100.00,99.95,0.03,,,
27355900,100.00,99.95,0.03,,,
27377888,100.00,99.95,0.03,,,
27395504,100.00,99.95,0.03,,,
27419932,100.00,99.95,0.03,,,
27435580,100.00,99.95,0.03,,,
27464492,100.00,99.95,0.03,,,
27479276,100.00,99.95,0.03,,,
27500196,100.00,99.95,0.03,,,
27515180,100.00,99.95,0.03,,,
27541060,100.00,99.95,0.03,,,
27556824,100.00,99.95,0.03,,,
27578420,100.00,99.95,0.03,,,
27595840,100.00,99.95,0.03,,,
27619480,100.00,99.95,0.03,,,
27634928,100.00,99.95,0.03,,,
27663052,100.00,99.95,0.03,,,
27679888,100.00,99.95,0.00,,,
27704592,100.00,99.95,0.00,,,
27719372,100.00,99.95,0.00,,,
27747276,100.00,99.95,0.00,,,
27762216,100.00,99.95,0.00,,,
27788448,100.00,99.95,0.00,,,
27805212,100.00,99.95,0.00,,,
27828848,100.00,99.95,0.00,,,
27842872,100.00,99.95,0.00,,,
27867268,100.00,99.95,0.00,,,
27881748,100.00,99.95,0.00,,,
27906752,100.00,99.95,0.00,,,
27920928,100.00,99.95,0.00,,,
27945324,100.00,99.95,0.00,,,
27959040,100.00,99.95,0.00,,,
27983288,100.00,99.95,0.00,,,
28001584,100.00,99.95,0.00,,,
28023844,100.00,99.95,0.00,,,
28039996,100.00,99.95,0.00,,,
28066228,100.00,99.95,0.00,,,
28081320,100.00,99.95,0.00,,,
28106020,100.00,99.95,0.00,,,
28121872,100.00,99.95,0.00,,,
28144588,100.00,99.95,0.00,,,
28158008,100.00,99.95,0.00,,,
28179508,100.00,99.95,0.00,,,
28196728,100.00,99.95,0.00,,,
28222956,100.00,99.95,0.00,,,
28235916,100.00,99.95,0.00,,,
28256952,100.00,99.95,0.00,,,
28272048,100.00,99.95,0.00,,,
28294800,100.00,99.17,0.00,,,
28309240,100.00,97.62,0.00,,,
28332628,100.00,93.75,0.00,,,
28347396,100.00,89.88,0.00,,,
28372808,100.00,80.58,0.00,,,
28387468,100.00,74.38,0.00,,,
28412980,100.00,62.76,0.00,,,
28430344,100.00,54.24,0.00,,,
28455044,100.00,41.06,0.00,,,
28473992,100.00,29.44,0.00,,,
28499644,100.00,13.95,0.00,,,
28514868,100.00,5.42,0.00,,,
28537844,100.00,-6.20,0.00,,,
28551872,100.00,-12.40,0.00,,,
28577320,100.00,-14.72,0.00,,,
28592780,100.00,-13.95,0.00,,,
28617724,100.00,-13.17,0.00,,,
28632296,100.00,-13.17,0.00,,,
28655608,100.00,-13.17,0.00,,,
28672176,100.00,-13.17,0.00,,,
28695792,100.00,-13.17,0.00,,,
28710816,100.00,-13.17,0.00,,,
28734132,100.00,-13.17,0.00,,,
28749768,100.00,-13.17,0.00,,,
28773856,100.00,-13.17,0.00,,,
28788724,100.00,-13.17,0.00,,,
28814960,100.00,-13.17,0.00,,,
28829836,100.00,-13.17,0.00,,,
28850384,100.00,-13.17,0.00,,,
28864332,100.00,-13.17,0.00,,,
28889040,100.00,-13.95,0.00,,,
28903124,100.00,-14.72,0.00,,,
28924420,100.00,-18.60,0.00,,,
28941088,100.00,-21.69,0.00,,,
28965100,100.00,-25.57,0.00,,,
28977064,100.00,-27.89,0.00,,,
29000384,100.00,-31.77,0.00,,,
29016320,100.00,-34.09,0.00,,,
29040920,100.00,-37.19,0.00,,,
29055900,100.00,-38.74,0.00,,,
29082820,100.00,-41.84,0.00,,,
29096112,100.00,-43.39,0.00,,,
29119040,100.00,-44.94,0.00,,,
29135976,100.00,-45.71,0.00,,,
29158228,100.00,-48.04,0.00,,,
29173740,100.00,-49.59,0.00,,,
29195040,100.00,-52.69,0.00,,,
29213584,100.00,-55.01,0.00,,,
29235628,100.00,-58.11,0.00,,,
29251260,100.00,-59.66,0.00,,,
29278184,100.00,-61.21,0.00,,,
29294368,100.00,-61.21,0.00,,,
29318500,100.00,-61.21,0.00,,,
29336824,100.00,-61.21,0.00,,,
29360340,100.00,-61.21,0.00,,,
29375912,100.00,-61.21,0.00,,,
29401568,100.00,-61.21,0.00,,,
29417448,100.00,-61.21,0.00,,,
29440812,100.00,-61.21,0.00,,,
29456544,100.00,-61.21,0.00,,,
29484184,100.00,-61.21,0.00,,,
29500212,100.00,-61.21,0.00,,,
29524340,100.00,-61.21,0.00,,,
29541284,100.00,-61.21,0.00,,,
29562664,100.00,-61.21,0.00,,,
29575492,100.00,-61.21,0.00,,,
29604352,100.00,-61.21,0.00,,,
29620384,100.00,-61.21,0.00,,,
29643744,100.00,-61.21,0.00,,,
29656876,100.00,-61.21,0.00,,,
29684364,100.00,-61.21,0.00,,,
29700852,100.00,-61.21,0.00,,,
29724216,100.00,-61.21,0.00,,,
29742540,100.00,-61.21,0.00,,,
29765752,100.00,-61.21,0.00,,,
29781780,100.00,-61.21,0.00,,,
29808352,100.00,-61.21,0.00,,,
29824992,100.00,-61.21,0.00,,,
29848508,100.00,-61.21,0.00,,,
29863928,100.00,-61.21,0.00,,,
29889740,100.00,-61.21,0.00,,,
29906068,100.00,-61.21,12.00,,,
29928520,100.00,-46.49,12.00,,,
29947024,100.00,-17.82,12.00,,,
29968052,100.00,25.57,12.00,,,
29984244,100.00,62.76,12.00,,,
30011268,100.00,128.62,-12.00,,,
30028172,100.00,147.99,-12.00,,,
30053184,100.00,131.71,-12.00,,,
30069144,100.00,107.70,-3.85,,,
30092532,100.00,73.61,12.00,,,
30110432,100.00,73.61,12.00,,,
30132512,100.00,97.62,1.96,,,
30151276,100.00,118.54,-8.88,,,
30176152,100.00,120.87,-10.82,,,
30189996,100.00,108.47,-4.24,,,
30218860,100.00,82.90,8.55,,,
30235568,100.00,79.03,10.49,,,
30260624,100.00,96.07,2.35,,,
30277868,100.00,109.25,-4.24,,,
30299732,100.00,118.54,-9.27,,,
30315552,100.00,116.22,-8.50,,,
30339488,100.00,103.05,-1.91,,,
30354128,100.00,95.30,2.35,,,
30377320,100.00,86.00,7.00,,,
30394656,100.00,86.78,6.61,,,
30420576,100.00,96.07,1.96,,,
30436100,100.00,102.27,-0.75,,,
30459464,100.00,109.25,-4.62,,,
30477928,100.00,110.02,-5.40,,,
30503696,100.00,106.15,-3.07,,,
30517624,100.00,102.27,-1.14,,,
30544856,100.00,96.07,1.96,,,
30559032,100.00,94.52,2.74,,,
30583608,100.00,92.98,3.51,,,
30599308,100.00,94.52,2.74,,,
30625504,100.00,96.07,1.96,,,
30640756,100.00,97.62,1.19,,,
30664348,100.00,99.17,0.41,,,
30681608,100.00,99.95,0.03,,,
30706624,100.00,99.95,0.03,,,
30723456,100.00,99.95,0.03,,,
30750128,100.00,99.95,0.03,,,
30767624,100.00,99.95,0.03,,,
