time,setpoint,response,pwm,,Parameters
4604748,100.00,99.17,0.41,,Labtype,Position
4634900,100.00,99.17,0.41,,Feedforward,
4674236,100.00,99.17,0.41,,OL Voltage,
4696088,100.00,99.17,0.41,,Setpoint,100
4728816,100.00,99.17,0.41,,Saturation,"-12,12"
4747316,100.00,99.17,0.41,,PID Sample Time,2
4776804,100.00,99.17,0.41,,P,0.5
4804368,100.00,99.17,0.41,,I,0
4838916,100.00,99.17,0.41,,D,0
4862196,100.00,99.17,0.41,,Controller State,1
4897980,100.00,99.17,0.41,,,
4923728,100.00,99.17,0.41,,,
4966228,100.00,99.17,0.41,,,
4987500,100.00,99.17,0.41,,,
5024060,100.00,99.17,0.41,,,
5042356,100.00,99.17,0.41,,,
5079492,100.00,99.17,0.41,,,
5105164,100.00,99.17,0.41,,,
5150988,100.00,99.17,0.41,,,
5175500,100.00,99.17,0.41,,,
5222396,100.00,99.17,0.41,,,
5253516,100.00,99.17,0.41,,,
5301268,100.00,99.17,0.41,,,
5331996,100.00,99.17,0.41,,,
5371788,100.00,99.17,0.41,,,
5405764,100.00,99.17,0.41,,,
5445096,100.00,99.17,0.41,,,
5481656,100.00,99.17,0.41,,,
5522876,100.00,99.17,0.41,,,
5559628,100.00,99.17,0.41,,,
5616764,100.00,99.17,0.41,,,
5657912,100.00,99.17,0.41,,,
5707088,100.00,99.17,0.41,,,
5749280,100.00,99.17,0.41,,,
5825324,100.00,99.17,0.41,,,
5870952,100.00,99.17,0.41,,,
5948812,100.00,99.17,0.41,,,
5994824,100.00,99.17,0.41,,,
6072100,100.00,99.17,0.41,,,
6114680,100.00,99.17,0.41,,,
6187944,100.00,99.17,0.41,,,
6235696,100.00,99.17,0.41,,,
6284684,100.00,99.17,0.41,,,
6316380,100.00,99.17,0.41,,,
6366408,100.00,99.17,0.41,,,
6400964,100.00,99.17,0.00,,,
6447744,100.00,99.17,0.00,,,
6481600,100.00,99.17,0.00,,,
6522732,100.00,99.17,0.00,,,
6550944,100.00,99.17,0.00,,,
6588068,100.00,99.17,0.00,,,
6613896,100.00,99.17,0.00,,,
6655924,100.00,99.17,0.00,,,
6678788,100.00,99.17,0.00,,,
6702980,100.00,99.17,0.00,,,
6721976,100.00,99.17,0.00,,,
6745280,100.00,99.17,0.00,,,
6760856,100.00,99.17,0.00,,,
6787136,100.00,99.17,0.00,,,
6801968,100.00,99.17,0.00,,,
6826608,100.00,99.17,0.00,,,
6841740,100.00,99.17,0.00,,,
6869060,100.00,99.17,0.00,,,
6883000,100.00,99.17,0.00,,,
6907344,100.00,99.17,0.00,,,
6926788,100.00,99.17,0.00,,,
6954696,100.00,99.17,0.00,,,
6969680,100.00,99.17,0.00,,,
6996108,100.00,99.17,0.00,,,
7009752,100.00,99.17,0.00,,,
7032908,100.00,99.17,0.00,,,
7047300,100.00,99.17,0.00,,,
7075060,100.00,99.17,0.00,,,
7092276,100.00,99.17,0.00,,,
7116320,100.00,99.17,0.00,,,
7133832,100.00,99.17,0.00,,,
7157584,100.00,99.17,0.00,,,
7174208,100.00,99.17,0.00,,,
7201520,100.00,99.17,0.00,,,
7216360,100.00,99.17,0.00,,,
7240108,100.00,99.17,0.00,,,
7256724,100.00,99.17,0.00,,,
7282108,100.00,99.17,0.00,,,
7296352,100.00,99.17,0.00,,,
7320392,100.00,99.17,0.00,,,
7337312,100.00,99.17,0.00,,,
7361064,100.00,99.17,0.00,,,
7373520,100.00,99.17,0.00,,,
7397120,100.00,99.17,0.00,,,
7410920,100.00,99.17,0.00,,,
7434520,100.00,99.17,0.00,,,
7447576,100.00,99.17,0.00,,,
7474740,100.00,99.17,0.00,,,
7488688,100.00,99.17,0.00,,,
7512140,100.00,99.17,0.00,,,
7527572,100.00,99.17,0.00,,,
7550724,100.00,99.17,0.00,,,
7566456,100.00,99.17,0.00,,,
7591100,100.00,92.20,0.00,,,
7608856,100.00,83.68,0.00,,,
7631700,100.00,72.83,0.00,,,
7648560,100.00,65.08,0.00,,,
7677208,100.00,54.24,0.00,,,
7694692,100.00,48.04,0.00,,,
7718460,100.00,39.51,0.00,,,
7735352,100.00,31.77,0.00,,,
7759700,100.00,19.37,0.00,,,
7776104,100.00,10.85,0.00,,,
7802772,100.00,-4.65,0.00,,,
7817276,100.00,-14.72,0.00,,,
7841188,100.00,-32.54,0.00,,,
7857468,100.00,-44.16,0.00,,,
7882644,100.00,-61.21,0.00,,,
7898868,100.00,-71.28,0.00,,,
7931684,100.00,-89.10,0.00,,,
7958248,100.00,-100.72,0.00,,,
7988204,100.00,-112.35,0.00,,,
8010164,100.00,-119.32,0.00,,,
8082816,100.00,-133.26,0.00,,,
8102128,100.00,-134.04,0.00,,,
8140400,100.00,-134.04,0.00,,,
8159704,100.00,-134.04,0.00,,,
8191456,100.00,-134.04,0.00,,,
8217132,100.00,-134.04,0.00,,,
8251104,100.00,-134.04,0.00,,,
8275596,100.00,-134.04,0.00,,,
8315204,100.00,-134.04,0.00,,,
8339988,100.00,-134.04,0.00,,,
8372336,100.00,-134.04,0.00,,,
8390892,100.00,-134.04,0.00,,,
8427684,100.00,-134.04,0.00,,,
8448024,100.00,-134.04,0.00,,,
8487180,100.00,-134.04,0.00,,,
8509596,100.00,-134.04,0.00,,,
8545352,100.00,-134.04,0.00,,,
8567464,100.00,-134.04,0.00,,,
8602924,100.00,-134.04,0.00,,,
